Date,Time,Symbol,Open,High,Low,Close,Volume
5/31/2022,3:00 PM,GOOGL,"2,285.60","2,305.64","2,272.00","2,275.24",510789
5/31/2022,2:00 PM,GOOGL,"2,305.73","2,314.70","2,282.00","2,287.12",80345
5/31/2022,1:00 PM,GOOGL,"2,303.45","2,308.30","2,287.05","2,308.30",58670
5/31/2022,12:00 PM,GOOGL,"2,283.36","2,307.07","2,282.60","2,304.14",110829
5/31/2022,11:00 AM,GOOGL,"2,268.85","2,285.44","2,259.02","2,282.72",70441
5/31/2022,10:00 AM,GOOGL,"2,249.26","2,269.00","2,241.57","2,266.55",75523
5/31/2022,9:00 AM,GOOGL,"2,254.93","2,276.38","2,243.91","2,249.85",112981
5/27/2022,3:00 PM,GOOGL,"2,238.87","2,246.36","2,229.58","2,246.33",332660
5/27/2022,2:00 PM,GOOGL,"2,232.88","2,240.86","2,225.28","2,240.00",44764
5/27/2022,1:00 PM,GOOGL,"2,238.75","2,241.94","2,230.00","2,232.78",47924
5/27/2022,12:00 PM,GOOGL,"2,236.87","2,243.00","2,231.27","2,239.46",98297
5/27/2022,11:00 AM,GOOGL,"2,226.40","2,238.24","2,218.00","2,237.73",62081
5/27/2022,10:00 AM,GOOGL,"2,208.53","2,232.54","2,207.69","2,225.40",88440
5/27/2022,9:00 AM,GOOGL,"2,189.66","2,214.78","2,182.77","2,208.99",103700
5/26/2022,3:00 PM,GOOGL,"2,158.04","2,166.62","2,148.00","2,155.85",322827
5/26/2022,2:00 PM,GOOGL,"2,166.47","2,170.51","2,156.62","2,158.62",80364
5/26/2022,1:00 PM,GOOGL,"2,170.35","2,172.99","2,155.98","2,166.56",59698
5/26/2022,12:00 PM,GOOGL,"2,155.93","2,170.80","2,154.86","2,170.56",55493
5/26/2022,11:00 AM,GOOGL,"2,151.76","2,159.69","2,148.31","2,157.50",138969
5/26/2022,10:00 AM,GOOGL,"2,142.19","2,153.61","2,134.36","2,150.92",83117
5/26/2022,9:00 AM,GOOGL,"2,113.54","2,147.00","2,104.50","2,142.19",92893
5/25/2022,3:00 PM,GOOGL,"2,122.61","2,130.00","2,108.66","2,116.10",291258
5/25/2022,2:00 PM,GOOGL,"2,098.62","2,124.81","2,087.28","2,121.92",82205
5/25/2022,1:00 PM,GOOGL,"2,097.60","2,101.03","2,087.65","2,099.06",65118
5/25/2022,12:00 PM,GOOGL,"2,105.85","2,107.48","2,088.01","2,097.72",74839
5/25/2022,11:00 AM,GOOGL,"2,120.88","2,126.25","2,105.97","2,106.52",72744
5/25/2022,10:00 AM,GOOGL,"2,096.54","2,127.38","2,082.36","2,121.66",150961
5/25/2022,9:00 AM,GOOGL,"2,099.71","2,115.88","2,077.13","2,095.27",143416
5/24/2022,3:00 PM,GOOGL,"2,096.50","2,129.17","2,096.30","2,119.40",320948
5/24/2022,2:00 PM,GOOGL,"2,109.40","2,124.49","2,091.24","2,097.42",99664
5/24/2022,1:00 PM,GOOGL,"2,083.26","2,116.11","2,078.56","2,110.32",104958
5/24/2022,12:00 PM,GOOGL,"2,090.01","2,107.51","2,077.56","2,084.80",121932
5/24/2022,11:00 AM,GOOGL,"2,058.33","2,097.61","2,057.61","2,090.25",172410
5/24/2022,10:00 AM,GOOGL,"2,076.57","2,080.98","2,037.69","2,058.00",389625
5/24/2022,9:00 AM,GOOGL,"2,115.44","2,118.06","2,073.02","2,076.26",433031
5/23/2022,3:00 PM,GOOGL,"2,227.85","2,232.99","2,218.19","2,229.76",257482
5/23/2022,2:00 PM,GOOGL,"2,227.87","2,235.00","2,224.52","2,226.09",39820
5/23/2022,1:00 PM,GOOGL,"2,226.14","2,230.92","2,214.51","2,225.52",38885
5/23/2022,12:00 PM,GOOGL,"2,232.21","2,242.95","2,223.24","2,226.91",59777
5/23/2022,11:00 AM,GOOGL,"2,214.35","2,234.00","2,214.34","2,232.61",81613
5/23/2022,10:00 AM,GOOGL,"2,195.23","2,228.91","2,181.52","2,215.00",119810
5/23/2022,9:00 AM,GOOGL,"2,191.75","2,214.28","2,174.82","2,194.19",139099
5/20/2022,3:00 PM,GOOGL,"2,126.12","2,181.90","2,123.24","2,178.16",350675
5/20/2022,2:00 PM,GOOGL,"2,133.37","2,135.39","2,116.00","2,127.56",80466
5/20/2022,1:00 PM,GOOGL,"2,124.69","2,137.98","2,117.75","2,132.32",84529
5/20/2022,12:00 PM,GOOGL,"2,156.92","2,159.32","2,115.93","2,126.21",160978
5/20/2022,11:00 AM,GOOGL,"2,178.48","2,182.43","2,155.07","2,160.89",115602
5/20/2022,10:00 AM,GOOGL,"2,227.26","2,231.00","2,177.41","2,179.13",88531
5/20/2022,9:00 AM,GOOGL,"2,239.02","2,243.67","2,220.10","2,227.27",116246
