Date,Time,Open,High,Low,Close,Volume
17-02-2011,09:00:00,30.867,30.928,30.847,30.897,14
17-02-2011,10:00:00,30.897,31.148,30.867,31.118,79
17-02-2011,11:00:00,31.117,31.338,31.047,31.298,71
17-02-2011,12:00:00,31.297,31.588,31.257,31.538,72
17-02-2011,13:00:00,31.537,31.638,31.487,31.638,42
18-02-2011,12:00:00,32.438,32.458,32.327,32.328,7
21-02-2011,10:00:00,33.657,33.678,33.617,33.668,5
22-02-2011,02:00:00,33.068,33.068,32.757,32.967,35
22-02-2011,03:00:00,32.967,32.988,32.417,32.477,65
22-02-2011,04:00:00,32.478,32.818,32.407,32.618,34
22-02-2011,05:00:00,32.608,32.938,32.607,32.847,60
22-02-2011,06:00:00,32.848,32.918,32.727,32.917,60
22-02-2011,07:00:00,32.898,33.398,32.867,33.168,67
22-02-2011,08:00:00,33.167,33.358,33.057,33.307,65
22-02-2011,09:00:00,33.308,33.428,33.228,33.247,18
22-02-2011,10:00:00,33.038,33.298,33.027,33.168,46
23-02-2011,07:00:00,33.308,33.387,33.307,33.307,13
23-02-2011,08:00:00,33.308,33.318,32.978,33.128,69
23-02-2011,09:00:00,33.138,33.428,33.117,33.428,49
25-02-2011,02:00:00,32.907,32.958,32.888,32.908,13
25-02-2011,03:00:00,32.907,33.028,32.608,32.648,60
25-02-2011,04:00:00,32.647,32.988,32.617,32.867,62
25-02-2011,05:00:00,32.867,32.898,32.797,32.818,60
25-02-2011,06:00:00,32.817,32.848,32.527,32.657,71
25-02-2011,07:00:00,32.658,32.847,32.587,32.817,61
25-02-2011,08:00:00,32.818,32.958,32.717,32.838,61
25-02-2011,09:00:00,32.847,32.858,32.557,32.808,64
25-02-2011,10:00:00,32.808,33.108,32.727,32.928,60
25-02-2011,11:00:00,32.927,33.037,32.707,33.008,62
25-02-2011,12:00:00,33.007,33.058,32.847,32.997,62
25-02-2011,13:00:00,32.998,33.088,32.977,33.037,31
28-02-2011,09:00:00,33.817,33.878,33.777,33.817,5
01-03-2011,05:00:00,34.228,34.358,34.177,34.288,32
01-03-2011,06:00:00,34.287,34.418,34.227,34.367,54
01-03-2011,09:00:00,34.427,34.428,34.247,34.258,21
03-03-2011,07:00:00,34.334,34.554,34.283,34.473,49
03-03-2011,08:00:00,34.473,34.584,34.313,34.344,18
03-03-2011,11:00:00,34.393,34.393,34.064,34.073,26
03-03-2011,15:00:00,34.094,34.154,34.033,34.044,7
04-03-2011,09:00:00,34.914,35.284,34.873,35.254,71
04-03-2011,10:00:00,35.253,35.324,35.114,35.224,67
04-03-2011,11:00:00,35.223,35.284,35.163,35.263,19
07-03-2011,09:00:00,36.274,36.604,36.123,36.514,58
07-03-2011,10:00:00,36.523,36.624,36.213,36.294,59
08-03-2011,03:00:00,35.823,35.943,35.816,35.91,44
08-03-2011,04:00:00,35.913,36.328,35.913,36.304,60
08-03-2011,05:00:00,36.293,36.485,36.288,36.361,60
08-03-2011,06:00:00,36.359,36.537,36.073,36.239,60
08-03-2011,07:00:00,36.246,36.3,36.067,36.071,60
08-03-2011,08:00:00,36.064,36.273,36.022,36.145,60
08-03-2011,09:00:00,36.148,36.148,35.657,35.961,60
08-03-2011,10:00:00,35.96,35.976,35.827,35.9,60
