Date,Time,Open,High,Low,Close,Volume,Name,Symbol
16-04-2018,22:00:00,0.256,0.288,0.256,0.263,5478160,Cardano ADA (USDT),ADAUSDT
16-04-2018,23:00:00,0.263,0.278,0.263,0.272,6408202,,
17-04-2018,00:00:00,0.271,0.272,0.251,0.253,10205218,,
17-04-2018,01:00:00,0.253,0.263,0.248,0.26,5314911,,
17-04-2018,02:00:00,0.261,0.263,0.252,0.254,4377984,,
17-04-2018,03:00:00,0.254,0.26,0.253,0.256,2766599,,
17-04-2018,04:00:00,0.256,0.258,0.253,0.254,2523072,,
17-04-2018,05:00:00,0.254,0.258,0.254,0.257,1587921,,
17-04-2018,06:00:00,0.257,0.267,0.256,0.266,3179016,,
17-04-2018,07:00:00,0.266,0.266,0.256,0.258,2981182,,
17-04-2018,08:00:00,0.258,0.259,0.255,0.255,2727583,,
17-04-2018,09:00:00,0.255,0.258,0.254,0.255,1686691,,
17-04-2018,10:00:00,0.254,0.257,0.253,0.254,1826869,,
17-04-2018,11:00:00,0.254,0.256,0.253,0.256,1667476,,
17-04-2018,12:00:00,0.256,0.258,0.255,0.256,1522439,,
17-04-2018,13:00:00,0.256,0.256,0.248,0.25,5270743,,
17-04-2018,14:00:00,0.25,0.252,0.249,0.252,1562550,,
17-04-2018,15:00:00,0.251,0.255,0.25,0.253,1711313,,
17-04-2018,16:00:00,0.253,0.253,0.249,0.249,992421,,
17-04-2018,17:00:00,0.249,0.249,0.242,0.242,2462314,,
17-04-2018,18:00:00,0.242,0.249,0.24,0.249,1927224,,
17-04-2018,19:00:00,0.249,0.251,0.247,0.248,914200,,
17-04-2018,20:00:00,0.249,0.25,0.247,0.25,895441,,
17-04-2018,21:00:00,0.25,0.251,0.247,0.248,612867,,
17-04-2018,22:00:00,0.248,0.248,0.247,0.247,409367,,
17-04-2018,23:00:00,0.247,0.247,0.244,0.245,1049286,,
18-04-2018,00:00:00,0.245,0.247,0.244,0.246,756798,,
18-04-2018,01:00:00,0.246,0.253,0.243,0.252,2872569,,
18-04-2018,02:00:00,0.252,0.253,0.248,0.249,1351474,,
18-04-2018,03:00:00,0.249,0.254,0.248,0.25,888049,,
18-04-2018,04:00:00,0.25,0.251,0.249,0.249,554639,,
18-04-2018,05:00:00,0.249,0.249,0.247,0.248,1264775,,
18-04-2018,06:00:00,0.248,0.252,0.248,0.252,892016,,
18-04-2018,07:00:00,0.252,0.254,0.249,0.25,1729456,,
18-04-2018,08:00:00,0.251,0.255,0.25,0.253,1090278,,
