Date,Time,Open,High,Low,Close,Volume,Name,Symbol
16-08-2017,22:00:00,4261.48,4280.56,4261.32,4261.45,12,Bitcoin (USDT),BTCUSDT
16-08-2017,23:00:00,4280,4328.69,4267.99,4320,58,,
17-08-2017,00:00:00,4320,4330.29,4291.37,4311.02,7,,
17-08-2017,01:00:00,4328.65,4345.45,4291.38,4291.38,5,,
17-08-2017,02:00:00,4291.39,4377.85,4287.41,4360.7,6,,
17-08-2017,03:00:00,4360.7,4360.7,4360,4360,4,,
17-08-2017,04:00:00,4360,4445.78,4360,4440,15,,
17-08-2017,05:00:00,4400,4485.39,4400,4485.39,45,,
17-08-2017,06:00:00,4485.39,4485.39,4418.12,4418.12,25,,
17-08-2017,07:00:00,4417,4445.88,4411,4440,6,,
17-08-2017,08:00:00,4435.12,4469.46,4425.21,4467.81,50,,
17-08-2017,09:00:00,4467.81,4485.39,4412.1,4432.2,54,,
17-08-2017,10:00:00,4432.2,4444.9,4255.3,4290.17,100,,
17-08-2017,11:00:00,4290.17,4354.84,4290.17,4335.28,37,,
17-08-2017,12:00:00,4335.28,4354.84,4218.68,4287.69,64,,
17-08-2017,13:00:00,4287.69,4302.45,4200.74,4287.61,61,,
17-08-2017,14:00:00,4287.61,4335.3,4261,4273.16,41,,
17-08-2017,15:00:00,4258.56,4369.69,4258.56,4349.33,53,,
17-08-2017,16:00:00,4349.33,4369.69,4309.23,4326.29,60,,
17-08-2017,17:00:00,4326.28,4359.13,4300,4327.89,72,,
17-08-2017,18:00:00,4327.89,4332.26,4267.78,4292.11,70,,
17-08-2017,19:00:00,4292.11,4340.62,4134.61,4214.97,111,,
17-08-2017,20:00:00,4214.97,4298.64,4200.6,4278.05,63,,
17-08-2017,21:00:00,4278.05,4308.7,4242.75,4244.77,45,,
17-08-2017,22:00:00,4244.77,4296.6,4234,4245,61,,
17-08-2017,23:00:00,4245,4319.93,4234.67,4317.21,62,,
18-08-2017,00:00:00,4317.21,4340.62,4262.32,4289.09,54,,
18-08-2017,01:00:00,4289.09,4304.66,4247.75,4286.05,74,,
18-08-2017,02:00:00,4286.05,4307.41,4270.48,4306.41,73,,
18-08-2017,03:00:00,4306.41,4327.25,4259.85,4307.01,66,,
18-08-2017,04:00:00,4317.6,4349,4276.89,4349,49,,
18-08-2017,05:00:00,4330.26,4371.52,4317.91,4330,37,,
18-08-2017,06:00:00,4330,4343.23,4302.72,4340.3,26,,
18-08-2017,07:00:00,4340.3,4340.3,4273.74,4278,14,,
18-08-2017,08:00:00,4278,4293.65,4221.05,4256.79,77,,
18-08-2017,09:00:00,4229.42,4259.4,4193.7,4229.86,52,,
18-08-2017,10:00:00,4200,4275.63,4200,4273.78,43,,
18-08-2017,11:00:00,4273.78,4283.79,4197.73,4197.73,68,,
18-08-2017,12:00:00,4176.64,4297.75,4066.53,4173,38,,
18-08-2017,13:00:00,4172.99,4177.41,4015.7,4066.21,34,,
18-08-2017,14:00:00,4066.21,4136.48,4010.9,4010.9,46,,
18-08-2017,15:00:00,4043.92,4061,3949.36,3982.87,19,,
18-08-2017,16:00:00,3982.87,4094,3938.77,4094,33,,
18-08-2017,17:00:00,4062.21,4136.48,4062.21,4119.42,27,,
18-08-2017,18:00:00,4119.42,4135.47,4084.28,4125.44,48,,
18-08-2017,19:00:00,4125.44,4178.31,4110.47,4156.99,23,,
18-08-2017,20:00:00,4156.99,4184.69,4148.53,4168.07,40,,
18-08-2017,21:00:00,4168.07,4184,4120,4156,15,,
18-08-2017,22:00:00,4121,4156,4076.63,4130,27,,
18-08-2017,23:00:00,4130,4140,4046.26,4047.71,12,,
19-08-2017,00:00:00,4047.71,4082.27,4026.34,4045.59,44,,
19-08-2017,01:00:00,4064.85,4064.85,3933.21,3999.15,23,,
19-08-2017,02:00:00,3999.15,4064.84,3977.19,4035.08,36,,
19-08-2017,03:00:00,4013.89,4036.08,3964.08,4021.04,11,,
19-08-2017,04:00:00,4049.74,4082.25,4000.58,4000.58,6,,
19-08-2017,05:00:00,4033,4033,3951.14,3960.76,31,,
19-08-2017,06:00:00,3981.81,4033,3850,4033,27,,
19-08-2017,07:00:00,3999.96,4100,3991.51,4059.93,22,,
19-08-2017,08:00:00,4059.92,4099.78,4013.7,4027.21,11,,
19-08-2017,09:00:00,4045,4063.44,4016.96,4016.96,10,,
19-08-2017,10:00:00,3995.63,4049.69,3964.67,4049.69,4,,
19-08-2017,11:00:00,4049.69,4049.69,3953.4,4000.98,7,,
19-08-2017,12:00:00,4000.98,4079,4000.98,4079,19,,
19-08-2017,13:00:00,4079,4103.92,4073.47,4089.01,3,,
19-08-2017,14:00:00,4088.71,4103.92,4051.47,4069.66,2,,
19-08-2017,15:00:00,4062.39,4149.98,4051.47,4149.98,6,,
19-08-2017,16:00:00,4149.99,4149.99,4074.23,4139.98,4,,
19-08-2017,17:00:00,4139.98,4139.98,4120.78,4139.98,3,,
19-08-2017,18:00:00,4139.98,4139.98,4044,4096.33,4,,
19-08-2017,19:00:00,4095.33,4095.33,4066.49,4082.53,2,,
19-08-2017,20:00:00,4069.98,4112.03,4052.82,4112.03,3,,
19-08-2017,21:00:00,4082.62,4124.69,4082.62,4111.26,3,,
19-08-2017,22:00:00,4111.26,4111.26,4094.62,4094.62,2,,
19-08-2017,23:00:00,4094.62,4142.16,4087,4142.16,11,,
20-08-2017,00:00:00,4142.16,4142.16,4087.38,4093.57,3,,
20-08-2017,01:00:00,4093.57,4117.41,4081.19,4109.41,6,,
20-08-2017,02:00:00,4108.33,4184.68,4032.62,4184.68,23,,
20-08-2017,03:00:00,4169.89,4211.08,4149.34,4155,9,,
20-08-2017,04:00:00,4155,4155,4155,4155,2,,
20-08-2017,05:00:00,4140,4142.41,4080,4125.44,4,,
20-08-2017,06:00:00,4080.01,4125.43,4080,4080,18,,
20-08-2017,07:00:00,4080,4125.43,4080,4125,2,,
20-08-2017,08:00:00,4114.4,4114.4,4063.35,4096.32,4,,
20-08-2017,09:00:00,4096.32,4114.4,4068.5,4114.4,4,,
20-08-2017,10:00:00,4101.13,4128.11,4100,4111.51,28,,
20-08-2017,11:00:00,4111.51,4150,4091.59,4132.47,38,,
20-08-2017,12:00:00,4132.47,4135,4101.4,4132,54,,
20-08-2017,13:00:00,4132,4185.94,4120,4166,58,,
20-08-2017,14:00:00,4166,4185.14,4116,4137.18,49,,
20-08-2017,15:00:00,4137.18,4156.56,4120.72,4131.47,43,,
20-08-2017,16:00:00,4146.53,4169.98,4133.41,4156.57,37,,
20-08-2017,17:00:00,4156.56,4171.62,4124.44,4124.44,49,,
20-08-2017,18:00:00,4130.85,4156.2,4062.78,4105.63,66,,
20-08-2017,19:00:00,4099.26,4119.62,4074.52,4114.86,59,,
20-08-2017,20:00:00,4114.86,4114.86,4039,4061.19,67,,
20-08-2017,21:00:00,4039.01,4088.8,4039.01,4083.77,45,,
20-08-2017,22:00:00,4083.77,4104.68,4047.75,4079.25,48,,
20-08-2017,23:00:00,4079.25,4104.68,4047.77,4082.96,47,,
21-08-2017,00:00:00,4066.21,4066.21,3953.41,3953.41,71,,
21-08-2017,01:00:00,3991.05,4044.32,3953.4,4033.22,63,,
21-08-2017,02:00:00,4033.22,4055.92,4010.78,4035,61,,
21-08-2017,03:00:00,4035,4077.07,4022.88,4035.82,26,,
21-08-2017,04:00:00,4046.9,4088.12,4046.9,4088.08,7,,
21-08-2017,05:00:00,4082.93,4088.1,4010.78,4010.78,6,,
21-08-2017,06:00:00,4010.78,4023.11,4000.01,4023,15,,
21-08-2017,07:00:00,4023,4023.11,3953.4,4007.19,19,,
21-08-2017,08:00:00,3951.5,4011.98,3911.79,3979.11,12,,
21-08-2017,09:00:00,3999.8,4023.11,3920.55,4014.99,8,,
21-08-2017,10:00:00,4014.99,4026.04,3951.26,3977.39,12,,
21-08-2017,11:00:00,4026.02,4029.05,3951.26,3985.62,5,,
21-08-2017,12:00:00,4014.99,4029.06,3962.74,4027,4,,
21-08-2017,13:00:00,3986.16,4042.11,3918.8,4025,9,,
21-08-2017,14:00:00,4027.51,4042.11,3950,3950,25,,
21-08-2017,15:00:00,4021.03,4027.05,4003.03,4019.52,35,,
21-08-2017,16:00:00,4015.76,4070.49,4007.51,4039.09,31,,
21-08-2017,17:00:00,4039.09,4041.1,4009.51,4016,9,,
21-08-2017,18:00:00,4016,4016,3974.05,3974.05,27,,
21-08-2017,19:00:00,3974.05,3983.19,3733.71,3799.99,57,,
21-08-2017,20:00:00,3728.91,3844.98,3688.97,3797.99,19,,
21-08-2017,21:00:00,3796,3849.98,3759.5,3849.98,18,,
21-08-2017,22:00:00,3823,3868.57,3683.03,3683.03,20,,
21-08-2017,23:00:00,3683.03,3695.62,3450.97,3690,25,,
22-08-2017,00:00:00,3680,3827.22,3400,3827.22,24,,
22-08-2017,01:00:00,3813.12,3854.46,3733.8,3777.05,75,,
22-08-2017,02:00:00,3777.05,3805.76,3746.97,3790.11,51,,
22-08-2017,03:00:00,3790,3875.44,3750.08,3869.42,58,,
22-08-2017,04:00:00,3869.42,3920.31,3826.12,3893.92,71,,
22-08-2017,05:00:00,3893.92,3904.51,3841.18,3893.52,61,,
22-08-2017,06:00:00,3853.53,3920.31,3853.53,3920.31,55,,
22-08-2017,07:00:00,3934.49,3990.12,3889.38,3889.38,59,,
22-08-2017,08:00:00,3889.38,3925.99,3786.81,3786.81,42,,
22-08-2017,09:00:00,3786.81,3921.63,3786.81,3874.41,25,,
22-08-2017,10:00:00,3899.99,3919.99,3853.47,3910.92,39,,
22-08-2017,11:00:00,3919.99,3998.99,3874.45,3950.55,43,,
22-08-2017,12:00:00,3998.78,4067,3934.12,4063.69,44,,
22-08-2017,13:00:00,4063.69,4104.82,4001.42,4019.97,39,,
22-08-2017,14:00:00,4019.97,4101.24,3953.13,3953.13,35,,
22-08-2017,15:00:00,3953.13,4058.83,3948.6,3948.6,27,,
22-08-2017,16:00:00,3948.6,4046.11,3944.04,3978.77,23,,
22-08-2017,17:00:00,3978.77,4031.99,3944.03,3977.39,42,,
22-08-2017,18:00:00,3977.39,4075.9,3974.37,4036.92,36,,
22-08-2017,19:00:00,4064.2,4084.99,4020.09,4071.16,36,,
22-08-2017,20:00:00,4077.58,4127.99,4064.68,4099,48,,
22-08-2017,21:00:00,4099,4126.99,4049.74,4092.93,46,,
22-08-2017,22:00:00,4092.93,4124.42,4067.75,4070.02,39,,
22-08-2017,23:00:00,4100,4114.99,4054.01,4071,38,,
23-08-2017,00:00:00,4071,4093.31,4035.32,4066.88,35,,
23-08-2017,01:00:00,4066.88,4099.99,4052.49,4052.49,34,,
23-08-2017,02:00:00,4060.67,4098,4052.5,4081,36,,
23-08-2017,03:00:00,4081,4242.32,4057,4194.91,47,,
23-08-2017,04:00:00,4218.61,4242.28,4188.62,4214.44,30,,
23-08-2017,05:00:00,4224,4228.02,4174.09,4208.7,28,,
23-08-2017,06:00:00,4200,4265.8,4188,4219.06,44,,
23-08-2017,07:00:00,4236.53,4265.8,4155,4190.17,89,,
23-08-2017,08:00:00,4190.08,4212.29,4155.28,4208.77,51,,
