Date,Time,Open,High,Low,Close,Volume
16-08-2017,22:00:00,301.13,301.13,298,299.39,38
16-08-2017,23:00:00,299.39,303.28,299.39,302.21,321
17-08-2017,00:00:00,302.21,303.71,302.02,303.11,264
17-08-2017,01:00:00,303.11,304.97,301.9,304.61,625
17-08-2017,02:00:00,304.61,309.77,304.53,309.77,414
17-08-2017,03:00:00,309.77,311.46,307.86,311.46,229
17-08-2017,04:00:00,309.89,312,308.54,309.22,412
17-08-2017,05:00:00,309.22,310.97,307.78,310.4,320
17-08-2017,06:00:00,310.4,310.68,307.98,308.76,330
17-08-2017,07:00:00,308.62,309.72,308.03,309.52,315
17-08-2017,08:00:00,309.52,309.52,305.49,307.59,610
17-08-2017,09:00:00,307.59,308.76,306.17,306.43,440
17-08-2017,10:00:00,306.4,309.4,298.21,309.4,741
17-08-2017,11:00:00,308.76,312.18,303.72,308.33,231
17-08-2017,12:00:00,308.33,310.64,298.96,310.64,224
17-08-2017,13:00:00,311.53,311.53,301.97,308.71,244
17-08-2017,14:00:00,308.71,309.41,301.6,301.88,265
17-08-2017,15:00:00,301.88,307.02,299.01,307.02,211
17-08-2017,16:00:00,307.02,310.26,303.44,305.62,400
17-08-2017,17:00:00,305.62,310.85,303.02,303.02,310
17-08-2017,18:00:00,303.02,306.2,300.17,304.88,291
17-08-2017,19:00:00,304.88,305.34,295.19,296.19,500
17-08-2017,20:00:00,296.19,305.55,296.19,299.61,296
17-08-2017,21:00:00,299.61,306.47,299.61,301.21,508
17-08-2017,22:00:00,301.21,302.95,298.41,298.94,425
17-08-2017,23:00:00,298.94,303.99,298.94,303.77,528
18-08-2017,00:00:00,305.08,305.96,303.21,303.21,387
18-08-2017,01:00:00,303.21,309.49,303.21,306.13,492
18-08-2017,02:00:00,306.13,310.85,306.13,310.8,182
18-08-2017,03:00:00,310.8,310.8,303.22,305.91,399
18-08-2017,04:00:00,305.91,307.72,303.65,306.78,348
18-08-2017,05:00:00,306.78,311.71,306.24,308.5,266
18-08-2017,06:00:00,308.5,311.79,306.27,310.29,229
18-08-2017,07:00:00,310.29,310.29,301.3,301.3,476
18-08-2017,08:00:00,306,308.3,298.6,298.6,353
18-08-2017,09:00:00,299.01,300.07,296.32,299.45,292
18-08-2017,10:00:00,299.45,300.99,295.64,300.99,258
18-08-2017,11:00:00,300.99,301.11,295.01,295.01,527
18-08-2017,12:00:00,295.01,298.25,293.18,297,276
18-08-2017,13:00:00,295.46,297,287.37,292.08,498
18-08-2017,14:00:00,292.08,295.6,289.18,291.7,539
18-08-2017,15:00:00,291.7,294.19,287.37,289.1,801
18-08-2017,16:00:00,289.1,292.91,283.94,292.91,590
18-08-2017,17:00:00,290.58,294.19,289.97,289.97,146
18-08-2017,18:00:00,293.96,293.98,290.84,293.98,87
18-08-2017,19:00:00,293.87,298.2,293.87,297.19,100
18-08-2017,20:00:00,297.19,299.84,296.79,299.84,61
18-08-2017,21:00:00,298.8,299.84,293.21,297.19,81
18-08-2017,22:00:00,296.26,297.19,292.83,294.21,32
18-08-2017,23:00:00,295.1,299.9,291.87,293.34,56
19-08-2017,00:00:00,291.87,295.56,291.87,293.17,32
19-08-2017,01:00:00,292.6,292.6,287.83,289.84,102
19-08-2017,02:00:00,289.83,290.16,287,288.72,69
19-08-2017,03:00:00,287.55,290.04,287.55,288.87,288
19-08-2017,04:00:00,288.87,293.17,287.76,288.15,302
19-08-2017,05:00:00,288.15,288.15,282.67,285.47,431
19-08-2017,06:00:00,283.87,285.56,278,283.18,169
19-08-2017,07:00:00,283.18,290.85,283.17,288.04,90
19-08-2017,08:00:00,288.04,288.38,284.69,287.06,25
19-08-2017,09:00:00,288.64,288.64,283,286.56,35
19-08-2017,10:00:00,284.24,290.16,283.01,288.09,110
19-08-2017,11:00:00,288.09,288.66,284.16,288.66,20
19-08-2017,12:00:00,287.31,295,287.31,295,43
19-08-2017,13:00:00,295,295,291.99,293.32,19
19-08-2017,14:00:00,293.31,293.31,288.92,290.53,6
19-08-2017,15:00:00,290.41,292.34,288.8,292.34,17
19-08-2017,16:00:00,291.57,294.9,291.24,294.88,44
19-08-2017,17:00:00,293.5,293.5,290.91,290.91,12
19-08-2017,18:00:00,290.91,292.42,286.91,286.91,17
19-08-2017,19:00:00,287,288.85,285.96,288.84,14
19-08-2017,20:00:00,288.84,290.87,287.11,289.94,15
19-08-2017,21:00:00,287.66,292.42,287.66,292.42,27
19-08-2017,22:00:00,289.47,292.41,287.97,288.31,5
19-08-2017,23:00:00,288.31,291.59,285.39,291.59,10
20-08-2017,00:00:00,291.59,293.15,287.87,293.14,64
20-08-2017,01:00:00,290.15,293.15,289,293.15,48
20-08-2017,02:00:00,293.15,295.56,282.85,295.54,252
20-08-2017,03:00:00,289.19,295.98,289.19,295.96,44
20-08-2017,04:00:00,295.96,295.97,295.96,295.97,2
20-08-2017,05:00:00,294.27,296.89,292.59,295.45,33
20-08-2017,06:00:00,293.12,295.49,293.12,295.49,89
20-08-2017,07:00:00,294.88,296.92,292.28,292.28,15
20-08-2017,08:00:00,293.41,293.41,293.41,293.41,7
20-08-2017,09:00:00,294.25,295.16,294.25,295.16,5
20-08-2017,10:00:00,295.1,297.92,293.28,295.22,47
20-08-2017,11:00:00,295.22,297.92,293.63,296.78,75
20-08-2017,12:00:00,296.77,300.53,294.72,298.56,85
20-08-2017,13:00:00,298.56,298.57,296.83,298.2,26
20-08-2017,14:00:00,296.19,298.57,294.51,295.39,254
20-08-2017,15:00:00,295.39,297.57,294.9,296.39,314
20-08-2017,16:00:00,296.39,298.46,296.37,298.4,330
20-08-2017,17:00:00,298.29,300.52,297.19,298.76,574
20-08-2017,18:00:00,298.76,300.8,295.76,300.8,429
20-08-2017,19:00:00,300.8,300.9,297.71,297.8,266
20-08-2017,20:00:00,297.8,299,294.6,294.8,130
20-08-2017,21:00:00,295.5,299.71,295.5,298.65,61
20-08-2017,22:00:00,297.94,301.85,297.94,300.5,134
20-08-2017,23:00:00,300.5,307.5,300.5,307.4,312
21-08-2017,00:00:00,307.4,329.22,306.77,329.22,255
21-08-2017,01:00:00,329.22,329.49,315.24,319.79,141
21-08-2017,02:00:00,317.67,323.16,312.75,323.16,90
21-08-2017,03:00:00,319.69,324.3,314.98,317.85,20
21-08-2017,04:00:00,317.25,325.3,315,320,99
21-08-2017,05:00:00,318.27,324.97,314.63,314.97,16
21-08-2017,06:00:00,314.8,333.66,312.6,331.3,116
21-08-2017,07:00:00,330.31,341.18,326.7,337.06,276
21-08-2017,08:00:00,337.06,346.52,334.74,334.75,323
21-08-2017,09:00:00,336.35,336.35,328.68,331.33,381
21-08-2017,10:00:00,332.33,338.34,329.47,338.34,438
21-08-2017,11:00:00,338.34,342.72,335.17,339.5,281
21-08-2017,12:00:00,339.5,340.83,328.73,333.53,389
21-08-2017,13:00:00,330.52,333.06,316.82,329.13,575
21-08-2017,14:00:00,330.52,332.74,325.37,325.47,495
21-08-2017,15:00:00,326.9,326.9,318.42,318.42,78
21-08-2017,16:00:00,318.42,326.8,318.42,323.29,36
21-08-2017,17:00:00,323.29,324.76,317.05,318.67,25
21-08-2017,18:00:00,316.12,323.29,316.12,319.9,141
21-08-2017,19:00:00,319.9,330.41,317.23,322.5,371
21-08-2017,20:00:00,317.24,322.5,301.4,315.2,148
21-08-2017,21:00:00,315.19,317.68,302.18,314.77,192
21-08-2017,22:00:00,302.19,313.1,144.21,302.98,136
21-08-2017,23:00:00,300,303,282.39,303,54
22-08-2017,00:00:00,300.61,309.04,279.96,309.04,106
22-08-2017,01:00:00,309.04,310.24,294.38,297.76,329
22-08-2017,02:00:00,297.75,303.39,296,300.29,467
22-08-2017,03:00:00,300.29,309.65,297.3,309.24,471
22-08-2017,04:00:00,309.23,311.39,304.96,311.39,463
22-08-2017,05:00:00,311.39,313.16,306.97,311.23,749
22-08-2017,06:00:00,311,311.24,304.53,307.9,590
22-08-2017,07:00:00,310.23,311.24,306.65,307.81,431
22-08-2017,08:00:00,307.81,310.24,302.42,304.76,440
22-08-2017,09:00:00,302.42,309.54,301.48,307.05,264
22-08-2017,10:00:00,307.05,309.85,305.08,309.76,265
22-08-2017,11:00:00,311.35,320.76,309.77,317.26,489
22-08-2017,12:00:00,314.74,315.25,312,313.8,211
22-08-2017,13:00:00,312.17,315.17,309.12,310,356
22-08-2017,14:00:00,313.44,313.44,305.66,307.03,365
22-08-2017,15:00:00,308.77,312,307.02,308.14,169
22-08-2017,16:00:00,308.14,312,305.08,312,232
22-08-2017,17:00:00,311.67,313.1,306.9,308.29,397
22-08-2017,18:00:00,308.29,313.99,308.28,310.94,290
22-08-2017,19:00:00,310.94,314.38,309.41,311.54,207
