Date,Time,Symbol,Open,High,Low,Close,Volume
12-12-2017,11:00 PM,^BTCUSDT,"16,176.00","16,437.42","16,140.00","16,330.00",0
12-12-2017,10:00 PM,^BTCUSDT,"16,153.39","16,299.00","15,958.18","16,176.00",0
12-12-2017,9:00 PM,^BTCUSDT,"16,075.00","16,384.00","16,000.00","16,153.39",0
12-12-2017,8:00 PM,^BTCUSDT,"16,241.00","16,440.31","15,751.00","16,075.00",0
12-12-2017,7:00 PM,^BTCUSDT,"16,500.00","16,505.12","16,140.00","16,241.00",0
12-12-2017,6:00 PM,^BTCUSDT,"16,200.00","16,525.00","16,200.00","16,500.00",0
12-12-2017,5:00 PM,^BTCUSDT,"16,421.00","16,456.12","16,100.00","16,200.00",0
12-12-2017,4:00 PM,^BTCUSDT,"16,250.00","16,588.30","16,068.53","16,421.00",0
12-12-2017,3:00 PM,^BTCUSDT,"16,350.46","16,451.00","16,230.00","16,250.00",0
12-12-2017,2:00 PM,^BTCUSDT,"16,630.00","16,690.00","16,301.00","16,350.46",0
12-12-2017,1:00 PM,^BTCUSDT,"16,560.32","16,739.96","16,481.88","16,630.00",0
12-12-2017,12:00 PM,^BTCUSDT,"16,274.86","16,789.99","16,234.80","16,560.32",0
12-12-2017,11:00 AM,^BTCUSDT,"16,439.00","16,439.99","16,099.00","16,274.86",0
12-12-2017,10:00 AM,^BTCUSDT,"16,513.00","16,516.00","16,239.90","16,439.00",0
12-12-2017,9:00 AM,^BTCUSDT,"16,626.67","16,700.00","16,107.48","16,511.00",0
12-12-2017,8:00 AM,^BTCUSDT,"16,788.00","16,977.79","16,595.00","16,626.67",0
12-12-2017,7:00 AM,^BTCUSDT,"16,700.00","16,810.00","16,585.00","16,810.00",0
01-01-2018,11:00 PM,^BTCUSDT,"13,109.29","13,213.53","13,080.01","13,139.84",0
01-01-2018,10:00 PM,^BTCUSDT,"13,336.41","13,411.67","12,898.04","13,109.29",0
01-01-2018,9:00 PM,^BTCUSDT,"13,329.70","13,480.70","13,262.91","13,336.32",0
01-01-2018,8:00 PM,^BTCUSDT,"13,330.18","13,343.48","13,292.15","13,329.92",0
01-01-2018,7:00 PM,^BTCUSDT,"13,344.54","13,355.70","13,307.15","13,329.89",0
01-01-2018,6:00 PM,^BTCUSDT,"13,388.71","13,422.52","13,336.62","13,344.32",0
01-01-2018,5:00 PM,^BTCUSDT,"13,463.95","13,465.97","13,262.95","13,388.84",0
01-01-2018,4:00 PM,^BTCUSDT,"13,500.53","13,595.18","13,463.86","13,463.95",0
01-01-2018,3:00 PM,^BTCUSDT,"13,374.62","13,600.00","13,374.62","13,500.53",0
01-01-2018,2:00 PM,^BTCUSDT,"13,232.45","13,467.81","13,220.03","13,373.38",0
01-01-2018,1:00 PM,^BTCUSDT,"13,142.13","13,260.30","13,052.20","13,221.56",0
01-01-2018,12:00 PM,^BTCUSDT,"13,020.82","13,237.19","13,000.00","13,142.13",0
01-01-2018,11:00 AM,^BTCUSDT,"13,002.17","13,176.42","13,002.17","13,020.51",0
01-01-2018,10:00 AM,^BTCUSDT,"13,249.61","13,249.61","12,986.59","13,002.68",0
01-01-2018,9:00 AM,^BTCUSDT,"13,199.47","13,302.77","13,113.15","13,249.61",0
01-01-2018,8:00 AM,^BTCUSDT,"12,996.16","13,199.47","12,795.14","13,199.47",0
01-01-2018,7:00 AM,^BTCUSDT,"13,299.95","13,311.20","12,952.30","12,996.16",0
01-01-2018,6:00 AM,^BTCUSDT,"13,274.65","13,312.32","13,267.04","13,299.86",0
01-01-2018,5:00 AM,^BTCUSDT,"13,566.58","13,573.47","13,261.75","13,274.68",0
01-01-2018,4:00 AM,^BTCUSDT,"13,615.12","13,615.12","13,469.73","13,566.58",0
01-01-2018,3:00 AM,^BTCUSDT,"13,466.79","13,635.05","13,456.59","13,608.90",0
01-01-2018,2:00 AM,^BTCUSDT,"13,612.46","13,712.82","13,400.00","13,469.61",0
01-01-2018,1:00 AM,^BTCUSDT,"13,805.37","13,840.48","13,605.24","13,612.99",0
01-01-2018,12:00 AM,^BTCUSDT,"13,513.92","13,807.04","13,480.60","13,797.60",0
02-01-2018,11:00 PM,^BTCUSDT,"8,843.59","8,862.49","8,750.11","8,773.97",0
02-01-2018,10:00 PM,^BTCUSDT,"8,857.70","8,905.41","8,752.08","8,843.59",0
02-01-2018,9:00 PM,^BTCUSDT,"9,053.81","9,100.35","8,851.77","8,857.70",0
02-01-2018,8:00 PM,^BTCUSDT,"8,784.80","9,053.81","8,772.23","9,053.81",0
02-01-2018,7:00 PM,^BTCUSDT,"8,871.27","8,970.52","8,753.21","8,787.22",0
02-01-2018,6:00 PM,^BTCUSDT,"9,248.31","9,284.42","8,860.85","8,870.02",0
