Date,Time,Symbol,Open,High,Low,Close,Volume
05-05-2008,3:00 PM,AAPL,6.57,6.6,6.55,6.6,127304739
05-05-2008,2:00 PM,AAPL,6.54,6.6,6.53,6.57,88720740
05-05-2008,1:00 PM,AAPL,6.59,6.59,6.52,6.54,97154341
05-05-2008,12:00 PM,AAPL,6.6,6.62,6.58,6.59,61025940
05-05-2008,11:00 AM,AAPL,6.59,6.6,6.56,6.6,84338740
05-05-2008,10:00 AM,AAPL,6.56,6.62,6.56,6.58,197682738
05-05-2008,9:00 AM,AAPL,6.5,6.58,6.47,6.56,146400768
06-05-2008,3:00 PM,AAPL,6.66,6.68,6.65,6.67,142312739
06-05-2008,2:00 PM,AAPL,6.65,6.67,6.62,6.66,102681541
06-05-2008,1:00 PM,AAPL,6.64,6.66,6.62,6.65,84968740
06-05-2008,12:00 PM,AAPL,6.6,6.65,6.6,6.64,125820740
06-05-2008,11:00 AM,AAPL,6.58,6.6,6.56,6.6,92576340
06-05-2008,10:00 AM,AAPL,6.54,6.58,6.53,6.58,153056340
06-05-2008,9:00 AM,AAPL,6.6,6.62,6.51,6.54,141299170
07-05-2008,3:00 PM,AAPL,6.52,6.54,6.45,6.52,241393537
07-05-2008,2:00 PM,AAPL,6.58,6.6,6.5,6.52,181260740
07-05-2008,1:00 PM,AAPL,6.66,6.66,6.56,6.57,145244340
07-05-2008,12:00 PM,AAPL,6.65,6.68,6.65,6.66,76297140
07-05-2008,11:00 AM,AAPL,6.68,6.72,6.64,6.65,139381140
07-05-2008,10:00 AM,AAPL,6.63,6.71,6.62,6.68,178189140
07-05-2008,9:00 AM,AAPL,6.64,6.66,6.6,6.63,121043970
08-05-2008,3:00 PM,AAPL,6.6,6.62,6.57,6.61,127122737
08-05-2008,2:00 PM,AAPL,6.65,6.66,6.58,6.6,98316340
08-05-2008,1:00 PM,AAPL,6.6,6.66,6.6,6.65,96650340
08-05-2008,12:00 PM,AAPL,6.61,6.63,6.58,6.6,69593940
08-05-2008,11:00 AM,AAPL,6.58,6.63,6.58,6.61,130317540
08-05-2008,10:00 AM,AAPL,6.59,6.61,6.55,6.58,173963939
08-05-2008,9:00 AM,AAPL,6.56,6.61,6.54,6.59,128584369
09-05-2008,3:00 PM,AAPL,6.52,6.56,6.51,6.55,84419940
09-05-2008,2:00 PM,AAPL,6.52,6.53,6.51,6.52,44365940
09-05-2008,1:00 PM,AAPL,6.52,6.52,6.49,6.52,46082340
09-05-2008,12:00 PM,AAPL,6.52,6.52,6.48,6.52,58970740
09-05-2008,11:00 AM,AAPL,6.55,6.56,6.51,6.52,53507940
09-05-2008,10:00 AM,AAPL,6.55,6.58,6.53,6.55,82818340
09-05-2008,9:00 AM,AAPL,6.54,6.57,6.53,6.55,64338370
