Date,Time,Open,High,Low,Close,Volume,Name,Symbol
01-02-2017,09:00:00,127.07,128.285,127.06,128.079,60,Apple com,AAPLUSUSD
01-02-2017,10:00:00,128.073,128.468,127.851,128.04,60,,
01-02-2017,11:00:00,128.042,128.8,128.02,128.79,60,,
01-02-2017,12:00:00,128.791,129.481,128.79,129.263,60,,
01-02-2017,13:00:00,129.262,129.99,128.92,129.99,60,,
01-02-2017,14:00:00,129.983,130.48,129.64,129.903,60,,
01-02-2017,15:00:00,129.91,129.932,128.78,128.785,30,,
02-02-2017,09:00:00,127.9,129.38,127.89,128.724,60,,
02-02-2017,10:00:00,128.729,128.81,128.22,128.346,60,,
02-02-2017,11:00:00,128.35,128.37,127.78,127.972,60,,
02-02-2017,12:00:00,127.974,128.452,127.968,128.14,60,,
02-02-2017,13:00:00,128.14,128.318,127.92,127.942,60,,
02-02-2017,14:00:00,127.936,128.304,127.89,128.28,60,,
02-02-2017,15:00:00,128.283,128.54,128.281,128.51,30,,
03-02-2017,09:00:00,128.308,129.18,128.163,129.02,60,,
03-02-2017,10:00:00,129.026,129.071,128.516,128.57,60,,
03-02-2017,11:00:00,128.566,128.64,128.344,128.49,60,,
03-02-2017,12:00:00,128.49,128.511,128.362,128.472,60,,
03-02-2017,13:00:00,128.473,128.56,128.342,128.49,60,,
03-02-2017,14:00:00,128.49,128.97,128.49,128.873,60,,
03-02-2017,15:00:00,128.874,129.056,128.83,129.048,30,,
06-02-2017,09:00:00,128.916,130.46,128.906,130.436,60,,
06-02-2017,10:00:00,130.434,130.44,130.102,130.21,60,,
06-02-2017,11:00:00,130.208,130.222,129.89,130.161,60,,
06-02-2017,12:00:00,130.16,130.49,130.12,130.32,60,,
06-02-2017,13:00:00,130.321,130.33,130.09,130.14,60,,
06-02-2017,14:00:00,130.14,130.341,130.048,130.183,60,,
06-02-2017,15:00:00,130.188,130.36,130.17,130.31,29,,
07-02-2017,09:00:00,130.496,131.93,130.455,131.73,60,,
07-02-2017,10:00:00,131.731,131.99,131.67,131.951,60,,
07-02-2017,11:00:00,131.95,131.99,131.78,131.9,60,,
07-02-2017,12:00:00,131.903,132.08,131.43,131.83,60,,
07-02-2017,13:00:00,131.833,132.034,131.311,131.43,60,,
07-02-2017,14:00:00,131.429,131.62,131.165,131.562,60,,
07-02-2017,15:00:00,131.553,131.59,131.39,131.505,30,,
08-02-2017,09:00:00,131.298,131.78,131.217,131.432,60,,
08-02-2017,10:00:00,131.43,131.59,131.27,131.489,60,,
08-02-2017,11:00:00,131.48,131.691,131.42,131.56,60,,
08-02-2017,12:00:00,131.56,131.673,131.46,131.621,60,,
08-02-2017,13:00:00,131.62,131.74,131.6,131.7,60,,
08-02-2017,14:00:00,131.701,132.044,131.692,131.97,60,,
08-02-2017,15:00:00,131.97,132.21,131.97,132.03,30,,
09-02-2017,09:00:00,131.645,132.15,131.12,131.43,60,,
