Date,Timse,Open,High,Low,Close,Volume
02-01-2017,09:00:00,140.98,142.3,140.98,141.7,60
02-01-2017,10:00:00,141.68,141.91,139.76,139.76,60
02-01-2017,11:00:00,139.76,140.27,139.3,139.99,60
02-01-2017,12:00:00,140,141.12,139.9,140.61,60
02-01-2017,13:00:00,140.61,141.22,140.35,141,60
02-01-2017,14:00:00,140.98,141.11,140.45,140.54,60
02-01-2017,15:00:00,140.55,140.78,140.51,140.74,30
02-02-2017,09:00:00,140.49,140.94,139.78,140.148,60
02-02-2017,10:00:00,140.15,140.61,139.93,140.32,60
02-02-2017,11:00:00,140.32,140.46,140.12,140.29,60
02-02-2017,12:00:00,140.306,140.31,139.87,139.89,60
02-02-2017,13:00:00,139.87,140.106,139.5,139.51,60
02-02-2017,14:00:00,139.51,139.51,139.05,139.12,60
02-02-2017,15:00:00,139.117,139.32,139.06,139.14,30
02-03-2017,09:00:00,139.646,140.328,139.1,139.687,60
02-03-2017,10:00:00,139.69,140.22,139.69,139.88,60
02-03-2017,11:00:00,139.877,140.08,139.47,140.07,60
02-03-2017,12:00:00,140.08,140.62,140.05,140.61,60
02-03-2017,13:00:00,140.61,140.63,140.14,140.25,60
02-03-2017,14:00:00,140.26,140.46,140.136,140.16,60
02-03-2017,15:00:00,140.166,140.317,140.14,140.23,30
02-06-2017,09:00:00,139.946,140,139.15,139.23,60
02-06-2017,10:00:00,139.22,139.88,139.217,139.73,60
02-06-2017,11:00:00,139.746,140.23,139.7,140.01,60
02-06-2017,12:00:00,140.01,140.01,139.67,139.85,60
02-06-2017,13:00:00,139.84,140.49,139.75,140.38,60
02-06-2017,14:00:00,140.38,140.41,140.11,140.23,60
02-06-2017,15:00:00,140.23,140.99,140.17,140.956,30
02-07-2017,09:00:00,141.45,142.3,141.37,141.45,60
02-07-2017,10:00:00,141.448,141.837,141.05,141.33,60
02-07-2017,11:00:00,141.326,142.159,141.32,141.69,60
02-07-2017,12:00:00,141.69,142.17,141.54,142.13,60
02-07-2017,13:00:00,142.126,143.4,142.06,143.2,60
02-07-2017,14:00:00,143.2,144.25,143.1,143.79,60
02-07-2017,15:00:00,143.798,144.1,143.68,143.98,30
02-08-2017,09:00:00,143.648,143.93,142.56,143.63,60
02-08-2017,10:00:00,143.629,143.88,143.25,143.44,60
02-08-2017,11:00:00,143.45,145,143.45,144.79,60
02-08-2017,12:00:00,144.79,144.88,144.08,144.42,60
02-08-2017,13:00:00,144.4,145,144.27,144.96,60
02-08-2017,14:00:00,144.955,144.99,144.4,144.86,60
02-08-2017,15:00:00,144.886,144.99,144.73,144.74,30
02-09-2017,09:00:00,144.97,144.97,143.58,143.705,60
02-09-2017,10:00:00,143.68,144.15,143.63,144.1,60
02-09-2017,11:00:00,144.1,144.36,143.71,143.82,60
02-09-2017,12:00:00,143.83,144.07,143.75,144.05,60
02-09-2017,13:00:00,144.05,144.279,144,144.119,60
02-09-2017,14:00:00,144.12,144.43,144.02,144.12,60
02-09-2017,15:00:00,144.12,144.25,143.97,144.13,30
02-10-2017,09:00:00,144.62,145.25,143.98,144.41,60
02-10-2017,10:00:00,144.415,144.939,144.37,144.56,60
02-10-2017,11:00:00,144.557,144.83,144.35,144.73,60
02-10-2017,12:00:00,144.74,145.087,144.69,144.82,60
02-10-2017,13:00:00,144.806,145.05,144.65,145.01,60
02-10-2017,14:00:00,145.01,145.11,144.76,144.8,60
02-10-2017,15:00:00,144.806,144.888,144.65,144.79,30
13-02-2017,09:00:00,145.15,145.87,144.75,145.39,60
13-02-2017,10:00:00,145.38,145.38,144.715,144.96,60
13-02-2017,11:00:00,144.966,145.02,144.336,144.44,60
13-02-2017,12:00:00,144.44,144.59,144.25,144.325,60
13-02-2017,13:00:00,144.32,144.366,143.97,144,60
13-02-2017,14:00:00,144,144,143.44,143.62,60
13-02-2017,15:00:00,143.615,143.62,143.04,143.19,30
14-02-2017,09:00:00,143.188,144.06,141.78,142.28,60
14-02-2017,10:00:00,142.28,142.3,140.21,140.5,60
14-02-2017,11:00:00,140.509,141.24,140.45,141.22,60
14-02-2017,12:00:00,141.24,141.4,140.56,141.05,60
14-02-2017,13:00:00,141.05,141.22,140.07,140.07,60
14-02-2017,14:00:00,140.06,140.59,140.04,140.34,60
14-02-2017,15:00:00,140.338,140.85,140.2,140.79,30
15-02-2017,09:00:00,140.688,142.3,140.326,140.9,60
15-02-2017,10:00:00,140.9,141.66,140.75,141.5,60
15-02-2017,11:00:00,141.5,141.88,141.3,141.72,60
15-02-2017,12:00:00,141.73,142.16,141.31,142.13,60
15-02-2017,13:00:00,142.14,142.18,141.89,142.13,60
15-02-2017,14:00:00,142.12,142.27,141.73,142.18,60
15-02-2017,15:00:00,142.177,142.42,142.07,142.28,30
16-02-2017,09:00:00,142.42,142.42,141.37,141.61,60
16-02-2017,10:00:00,141.62,141.66,141.07,141.447,60
16-02-2017,11:00:00,141.45,141.83,141.25,141.75,60
16-02-2017,12:00:00,141.75,141.88,141.5,141.6,60
16-02-2017,13:00:00,141.61,141.83,141.4,141.67,60
16-02-2017,14:00:00,141.68,141.87,141.49,141.79,60
16-02-2017,15:00:00,141.79,141.995,141.76,141.995,30
17-02-2017,09:00:00,141.7,142.849,141.5,142.36,60
17-02-2017,10:00:00,142.36,142.36,141.28,141.29,60
17-02-2017,11:00:00,141.3,141.63,141.25,141.51,60
17-02-2017,12:00:00,141.51,142.47,141.51,142.43,60
17-02-2017,13:00:00,142.447,142.46,142.02,142.09,60
17-02-2017,14:00:00,142.087,142.23,141.75,142.02,59
17-02-2017,15:00:00,142.03,142.209,141.83,142.209,30
21-02-2017,09:00:00,142.859,142.93,141.81,142.78,60
21-02-2017,10:00:00,142.79,143.36,142.67,143.23,60
21-02-2017,11:00:00,143.23,143.24,142.39,142.54,60
21-02-2017,12:00:00,142.55,142.74,142.42,142.71,60
21-02-2017,13:00:00,142.69,142.94,142.54,142.85,60
21-02-2017,14:00:00,142.849,142.89,142.39,142.55,60
21-02-2017,15:00:00,142.55,142.77,142.47,142.56,30
22-02-2017,09:00:00,142.889,143.29,142.16,143.06,60
22-02-2017,10:00:00,143.088,143.3,142.7,143.12,60
22-02-2017,11:00:00,143.12,143.8,143.12,143.69,60
22-02-2017,12:00:00,143.69,143.78,143.45,143.68,60
22-02-2017,13:00:00,143.688,143.99,143.55,143.85,60
22-02-2017,14:00:00,143.83,143.909,143.59,143.81,60
22-02-2017,15:00:00,143.809,143.96,143.66,143.8,30
23-02-2017,09:00:00,144.396,144.399,142.43,142.6,60
23-02-2017,10:00:00,142.608,143.34,141.5,142.12,60
23-02-2017,11:00:00,142.128,142.73,141.94,142.64,60
23-02-2017,12:00:00,142.64,142.76,142.16,142.16,60
23-02-2017,13:00:00,142.16,142.41,141.93,142.27,59
23-02-2017,14:00:00,142.27,142.54,142.22,142.22,60
23-02-2017,15:00:00,142.21,142.76,142.12,142.63,30
24-02-2017,09:00:00,141.758,142.7,141.545,142.478,60
24-02-2017,10:00:00,142.48,143.05,142.4,142.95,60
24-02-2017,11:00:00,142.96,143.55,142.74,143.42,60
24-02-2017,12:00:00,143.43,143.49,143,143.24,60
24-02-2017,13:00:00,143.247,143.35,143,143.04,60
24-02-2017,14:00:00,143.06,143.27,142.85,142.95,60
24-02-2017,15:00:00,142.93,143.23,142.896,143.22,30
27-02-2017,09:00:00,143.099,143.13,142.37,142.58,60
27-02-2017,10:00:00,142.589,143.91,142.53,143.74,60
27-02-2017,11:00:00,143.745,143.82,143.28,143.28,60
27-02-2017,12:00:00,143.285,143.49,143.28,143.35,60
27-02-2017,13:00:00,143.34,143.68,143.19,143.62,60
27-02-2017,14:00:00,143.616,143.67,143.05,143.09,60
27-02-2017,15:00:00,143.108,143.49,143.09,143.33,30
28-02-2017,09:00:00,143.247,143.49,142.6,142.91,60
28-02-2017,10:00:00,142.88,143.14,142.72,142.94,60
